"ticker","news_source","news_title","news_date","news_tags","news_description","news_url","news_image_url","created_at","updated_at"
"BNFS11","Suno Notícias","FII BNFS11 anuncia rendimentos de R$ 1,36 em novembro","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII BNFS11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do BNFS11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-bnfs11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/04/77623bd0-buildings-690868_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"VRTA11","Suno Notícias","FII VRTA11 pagará R$ 0,80 para seus cotistas","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII VRTA11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do VRTA11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-vrta11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/04/5bf3085f-buildings-4640671_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"MXRF11","Suno Notícias","Investidores do fundo imobiliário MXRF11 receberão R$ 0,09 por cota","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs), MXRF11","O FII MXRF11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do MXRF11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-mxrf11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/07/carrefour-atacadao-transacao-barzel.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"VISC11","Suno Notícias","Cotistas do VISC11 receberão R$ 0,80 em rendimentos","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII VISC11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do VISC11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-visc11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/11/fundos-imobiliarios-4.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"VINO11","Suno Notícias","Cotistas do FII VINO11 receberão R$ 0,05 por cota em novembro","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs), VINO11","O FII VINO11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do VINO11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-vino11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/04/dbfc32e7-architecture-1869211_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"KNRI11","Suno Notícias","FII KNRI11 pagará R$ 1,00 por cota em novembro","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs), KNRI11","O FII KNRI11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do KNRI11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-knri11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2023/11/fundos-imobiliarios-4.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"VILG11","Suno Notícias","FII VILG11 anuncia rendimentos de R$ 0,61 em novembro","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs), VILG11","O FII VILG11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do VILG11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-vilg11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/04/dbfc32e7-architecture-1869211_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"LVBI11","Suno Notícias","FII LVBI11 pagará R$ 0,83 para seus cotistas","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII LVBI11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do LVBI11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-lvbi11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/05/8651c14c-city-863692_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"KNCR11","Suno Notícias","Fundo imobiliário KNCR11 vai distribuir R$ 1,02 por cota; confira","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII KNCR11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do KNCR11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-kncr11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/04/dbfc32e7-architecture-1869211_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
"VGHF11","Suno Notícias","Cotistas do FII VGHF11 receberão R$ 0,09 por cota em novembro","2024-11-01 00:00:00","Fundos Imobiliários (FIIs), Fundos Imobiliários (FIIs)","O FII VGHF11 anunciou o pagamento de rendimentos em novembro. Clique aqui para saber os detalhes sobre os dividendos do VGHF11.","https://www.suno.com.br/noticias/news-agenda-dividendos-hoje-fundo-imobiliario-vghf11-novembro-gss/","https://files.sunoresearch.com.br/n/uploads/2021/05/8651c14c-city-863692_1280.jpg","2024-11-02 00:00:00","2024-11-02 00:00:00"
